genome_id	silva_species
bacteroides_fragilis	Bacteroides_fragilis
bacteroides_thetaiotaomicron	Bacteroides_thetaiotaomicron
bacteroides_uniformis	Bacteroides_uniformis
bacteroides_vulgatus
clostridium_bolteae
clostridium_perfringens	Clostridium_perfringens
clostridium_ramosum
clostridium_saccharolyticum
collinsella_aerofaciens	Collinsella_aerofaciens
coprococcus_comes	Coprococcus_comes
dorea_formicigenerans	Dorea_formicigenerans
eggerthella_lenta	Eggerthella_lenta
eubacterium_rectale
fusobacterium_nucleatum	Fusobacterium_nucleatum
methanobrevibacter_smithii	Methanobrevibacter_smithii
parabacteroides_merdae	Parabacteroides_merdae
roseburia_intestinalis	Roseburia_intestinalis
ruminococcus_gnavus
salinibacter_ruber	Salinibacter_ruber
streptococcus_parasanguinis	Streptococcus_parasanguinis
streptococcus_salivarius	Streptococcus_salivarius
veillonella_parvula	Veillonella_parvula
