genome_id,fasta_path,abundance
bacteroides_fragilis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/bacteroides_fragilis.ssu.fasta,1
bacteroides_thetaiotaomicron,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/bacteroides_thetaiotaomicron.ssu.fasta,1
bacteroides_uniformis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/bacteroides_uniformis.ssu.fasta,0.0277349
bacteroides_uniformis_strain2,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/bacteroides_uniformis_strain2.ssu.fasta,0.972265
bacteroides_vulgatus,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/bacteroides_vulgatus.ssu.fasta,1
clostridium_bolteae,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/clostridium_bolteae.ssu.fasta,1
collinsella_aerofaciens,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/collinsella_aerofaciens.ssu.fasta,1
eggerthella_lenta,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/eggerthella_lenta.ssu.fasta,1
methanobrevibacter_smithii,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/methanobrevibacter_smithii.ssu.fasta,1
roseburia_intestinalis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/sr_amplicon_param_sweep/references/16S/roseburia_intestinalis.ssu.fasta,1
