genome_id,fasta_path,abundance
bacteroides_fragilis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/bacteroides_fragilis.fasta,1
bacteroides_thetaiotaomicron,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/bacteroides_thetaiotaomicron.fasta,1
bacteroides_vulgatus,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/bacteroides_vulgatus.fasta,1
clostridium_bolteae,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/clostridium_bolteae.fasta,1
clostridium_perfringens,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/clostridium_perfringens.fasta,1
clostridium_ramosum,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/clostridium_ramosum.fasta,1
clostridium_saccharolyticum,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/clostridium_saccharolyticum.fasta,1
collinsella_aerofaciens,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/collinsella_aerofaciens.fasta,1
coprococcus_comes,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/coprococcus_comes.fasta,1
dorea_formicigenerans,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/dorea_formicigenerans.fasta,1
eggerthella_lenta,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/eggerthella_lenta.fasta,1
eubacterium_rectale,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/eubacterium_rectale.fasta,1
fusobacterium_nucleatum,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/fusobacterium_nucleatum.fasta,1
methanobrevibacter_smithii,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/methanobrevibacter_smithii.fasta,1
parabacteroides_merdae,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/parabacteroides_merdae.fasta,1
roseburia_intestinalis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/roseburia_intestinalis.fasta,1
ruminococcus_gnavus,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/ruminococcus_gnavus.fasta,1
streptococcus_parasanguinis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/streptococcus_parasanguinis.fasta,1
streptococcus_salivarius,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/streptococcus_salivarius.fasta,1
bacteroides_uniformis,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/bacteroides_uniformis.fasta,0
bacteroides_uniformis_strain2,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/references/genomes/bacteroides_uniformis_strain2.fasta,1
