genome_id,fasta_path,abundance
bacteroides_fragilis,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/bacteroides_fragilis/515-YF-806BR/bacteroides_fragilis.amplicons.fasta,1
bacteroides_thetaiotaomicron,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/bacteroides_thetaiotaomicron/515-YF-806BR/bacteroides_thetaiotaomicron.amplicons.fasta,1
bacteroides_vulgatus,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/bacteroides_vulgatus/515-YF-806BR/bacteroides_vulgatus.amplicons.fasta,1
clostridium_bolteae,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/clostridium_bolteae/515-YF-806BR/clostridium_bolteae.amplicons.fasta,1
clostridium_perfringens,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/clostridium_perfringens/515-YF-806BR/clostridium_perfringens.amplicons.fasta,1
clostridium_ramosum,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/clostridium_ramosum/515-YF-806BR/clostridium_ramosum.amplicons.fasta,1
clostridium_saccharolyticum,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/clostridium_saccharolyticum/515-YF-806BR/clostridium_saccharolyticum.amplicons.fasta,1
collinsella_aerofaciens,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/collinsella_aerofaciens/515-YF-806BR/collinsella_aerofaciens.amplicons.fasta,1
coprococcus_comes,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/coprococcus_comes/515-YF-806BR/coprococcus_comes.amplicons.fasta,1
dorea_formicigenerans,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/dorea_formicigenerans/515-YF-806BR/dorea_formicigenerans.amplicons.fasta,1
eggerthella_lenta,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/eggerthella_lenta/515-YF-806BR/eggerthella_lenta.amplicons.fasta,1
eubacterium_rectale,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/eubacterium_rectale/515-YF-806BR/eubacterium_rectale.amplicons.fasta,1
fusobacterium_nucleatum,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/fusobacterium_nucleatum/515-YF-806BR/fusobacterium_nucleatum.amplicons.fasta,1
methanobrevibacter_smithii,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/methanobrevibacter_smithii/515-YF-806BR/methanobrevibacter_smithii.amplicons.fasta,1
parabacteroides_merdae,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/parabacteroides_merdae/515-YF-806BR/parabacteroides_merdae.amplicons.fasta,1
roseburia_intestinalis,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/roseburia_intestinalis/515-YF-806BR/roseburia_intestinalis.amplicons.fasta,1
ruminococcus_gnavus,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/ruminococcus_gnavus/515-YF-806BR/ruminococcus_gnavus.amplicons.fasta,1
streptococcus_parasanguinis,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/streptococcus_parasanguinis/515-YF-806BR/streptococcus_parasanguinis.amplicons.fasta,1
streptococcus_salivarius,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/streptococcus_salivarius/515-YF-806BR/streptococcus_salivarius.amplicons.fasta,1
bacteroides_uniformis,/Users/timrozday/Documents/mimicc/mimicc-primer-investigations/amplicon-primer-screen_runs/20HM+/results/seqkit_amplicon/bacteroides_uniformis/515-YF-806BR/bacteroides_uniformis.amplicons.fasta,0.993752
bacteroides_uniformis_strain2,/PATH/TO/bacteroides_uniformis_strain2.v4.amplicons.fasta,0.00624838
