sample,train_id,train_fastq_1,train_fastq_2,platform,genomes_csv,num_reads,mode
S01_minor1e0,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_01.csv,1000000,amplicon
S02_minor1e0,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_02.csv,1000000,amplicon
S03_minor1e0,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_03.csv,1000000,amplicon
S04_minor1e0,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_04.csv,1000000,amplicon
S05_minor1e0,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_05.csv,1000000,amplicon
S06_minor1e0,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_06.csv,1000000,amplicon
S07_minor9e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_07.csv,1000000,amplicon
S08_minor9e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_08.csv,1000000,amplicon
S09_minor7e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_09.csv,1000000,amplicon
S10_minor6e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_10.csv,1000000,amplicon
S11_minor4e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_11.csv,1000000,amplicon
S12_minor3e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_12.csv,1000000,amplicon
S13_minor1e-1,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_13.csv,1000000,amplicon
S14_minor7e-2,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_14.csv,1000000,amplicon
S15_minor4e-2,sc2200627,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_1_sequence.txt.gz,/Users/timrozday/Downloads/SC2200627-SC3/SC2200627-SC3_Batch_54_samples_26s000943-1-1_Finn_lane1C5_2_sequence.txt.gz,hq-illumina,/Users/timrozday/Documents/synthetic-metagenomic-benchmark-pipeline/examples/subspecies_v4_sweep/genomes/sample_15.csv,1000000,amplicon
